date,A2C,DDPG,PPO,TD3,SAC
2022-05-27,168463.77957709535,200991.35539054137,181740.60503222694,167721.0220326236,210499.72429896594
2022-05-30,172381.28067572817,205942.83634757262,187076.63873886148,171704.15304458648,217730.7440133214
2022-05-31,171919.05472357973,207020.94242667418,187126.1353819279,171209.67986953765,217135.65481044055
2022-06-01,169011.03653510317,203435.28666495543,186209.64435409586,168284.6234425357,216617.85708094836
2022-06-02,169853.35184272035,204914.7815380023,191003.39703964273,169103.76745498687,220890.97732020618
2022-06-03,160701.46011908754,203192.83549308043,191397.1536314396,159957.6234425357,221832.48870326282
2022-06-06,158079.01199897035,203361.34049796325,190531.94873642008,157296.79748428374,221289.36336756946
2022-06-07,157310.84317572817,201408.6027049945,190227.22260116617,156483.3094166568,216976.06283046008
2022-06-08,156649.77652533754,199904.45878409606,189104.39545272867,155873.04666030913,219588.57934046985
2022-06-09,155257.88480170473,201972.30534171325,191918.4343321232,154464.92181289702,221054.4507699132
2022-06-10,156045.65433295473,198375.8606395648,187555.59314559976,155250.07659805327,217154.4244027257
2022-06-13,151695.16214545473,188016.70158194762,180974.68817733804,150895.8731678775,207792.64003993274
2022-06-14,153657.76065619692,183901.31742667418,179855.57306503336,152862.7593067935,207266.62078334094
2022-06-15,154371.53433783754,182839.62687491637,180847.10223983804,153613.19344985991,206930.78640223743
2022-06-16,150343.87808783754,175227.58390616637,177273.48157333414,149565.17990005523,202735.41906214954
2022-06-17,146742.19363959535,173963.63737296325,179282.0725767521,145899.5782460025,199307.050684464
2022-06-20,150993.71793158754,172985.57121085387,176808.66879867594,150118.84530532866,200780.99532557727
2022-06-21,153542.90237982973,176566.2913036273,178999.47473739664,152642.23467910796,207119.94872523547
2022-06-22,153096.51370795473,172550.73588370543,174355.56104110758,152216.0447377017,207718.64657069446
2022-06-23,153156.55862982973,174528.53410147887,174809.16220687906,152290.5610951236,213240.5181832433
2022-06-24,154861.96817572817,175475.28471183043,177699.89368270914,153997.87179458648,212228.8481087804
2022-06-27,157404.18301947817,179676.4788036273,177798.8346006779,156538.82314956695,213509.07750941516
2022-06-28,157810.61270697817,180488.93632315856,179262.65216659586,156944.49056900054,213912.2851815343
2022-06-29,159229.63004096254,179488.81388663512,180071.39185165445,158319.03158462554,212191.7265877843
2022-06-30,158563.45792182192,176184.67082022887,179333.27771591226,157678.8271168521,210569.02495814563
2022-07-01,161289.61722357973,178510.52628897887,174371.68289779703,160305.86553848296,213768.09777308704
2022-07-04,161128.4152481159,178332.0313103412,174197.3597628788,160145.59753839142,213554.3656962743
2022-07-05,161588.75796277655,177628.9975823139,174997.17937768594,160629.53735961945,211772.92349162346
2022-07-06,164464.85137548103,179574.0171135639,177042.55792004435,163480.07794799836,213520.3245231176
2022-07-07,164665.61570348396,182980.6821526264,176748.36373669474,163712.7200378421,216414.83275584463
2022-07-08,164702.459667107,182255.18776786077,177022.74960095255,163812.550848389,215135.01170826773
2022-07-11,164990.09882726325,181399.37722098577,178997.31753308146,164058.99310913117,212631.76318293816
2022-07-12,162937.79874791755,179331.08498465765,177955.06387097208,162013.73581543,210025.48073591667
2022-07-13,163605.41173925056,175752.88063895452,175801.21990734903,162663.2955383304,206548.85607923943
2022-07-14,161721.9284018482,174668.65212332952,176819.1001258549,160804.17603149445,205283.31764997917
2022-07-15,163806.72980870857,173974.54811942327,178454.25146252481,162904.0596374515,203381.27445997673
2022-07-18,168704.2924155201,180784.0512932514,180584.20675427286,167830.88556518586,208959.61578523307
2022-07-19,171403.1645926441,182424.6030510639,182872.13851696817,170534.63715209992,210151.96515388542
2022-07-20,171718.5514487232,187176.00075614202,184339.8361793217,170832.6670288089,213266.49155259758
2022-07-21,172803.79807653083,192635.87624442327,185402.6484046635,171953.72095336945,217483.77436058098
2022-07-22,181830.04243077888,191715.64919364202,186239.02428967325,180978.02875366242,220326.29531575064
2022-07-25,179832.90607823982,192417.87697684515,181088.76019055216,178987.70258178742,220551.6351848913
2022-07-26,180224.0499381031,190764.3491448139,184001.0833717045,179337.23416748078,218985.88805641228
2022-07-27,184193.56217565192,193292.2788323139,183984.09097058146,183341.59158935578,222514.01852540643
2022-07-28,182371.56811132087,199995.45876395452,191311.56164318888,181527.1240600589,223444.59661225945
2022-07-29,182189.30515241277,199795.52858817327,191120.33644467202,181345.62976278717,223221.17128430994
2022-08-01,185138.2937229084,199433.66982581367,195832.67315078777,184204.80580715975,229901.57038256133
2022-08-02,185745.0460446552,200502.82677771797,197316.7535951237,184719.54549221834,233059.2442028433
2022-08-03,184630.22817356145,201439.92530371895,198184.6461732487,183636.70754055819,232111.307651528
2022-08-04,184343.96804172551,200897.83880164375,196965.36663223308,183327.61263089022,232577.16532585968
2022-08-05,189597.50452549016,199819.14658667793,194407.97637344402,188419.80989651522,233395.76652214874
2022-08-08,186516.0050290302,201058.28199317207,198684.40557266277,185586.36507229647,235191.4222838675
